date,symbol,marketcapname,sector
17-02-2026 1:00 pm,FORCEMOT,Largecap,Auto
17-02-2026 1:00 pm,BLUESTARCO,Largecap,Consumer Discretionary
17-02-2026 1:00 pm,SBIN,Largecap,Bank
17-02-2026 1:00 pm,TITAN,Largecap,Consumer Discretionary
17-02-2026 1:00 pm,DRREDDY,Largecap,Healthcare
17-02-2026 1:00 pm,MFSL,Largecap,Miscellaneous
17-02-2026 1:00 pm,ONGC,Largecap,Energy
17-02-2026 1:00 pm,BHARATFORG,Largecap,Industrials
17-02-2026 1:00 pm,BANKINDIA,Largecap,Bank
17-02-2026 1:00 pm,JINDALSTEL,Largecap,Metals & Mining
17-02-2026 1:00 pm,UNIONBANK,Largecap,Bank
17-02-2026 1:00 pm,PFC,Largecap,Financials
17-02-2026 1:00 pm,ASTRAL,Largecap,Plastic products
17-02-2026 1:00 pm,POWERGRID,Largecap,Power & Utilities
17-02-2026 1:00 pm,BAJAJ-AUTO,Largecap,Auto
17-02-2026 1:00 pm,NAM-INDIA,Largecap,Financials
17-02-2026 1:00 pm,BANDHANBNK,Largecap,Bank
17-02-2026 1:00 pm,HDFCAMC,Largecap,Financials
17-02-2026 1:00 pm,SONACOMS,Largecap,Auto
17-02-2026 1:00 pm,LICI,Largecap,Financials
17-02-2026 1:15 pm,FORCEMOT,Largecap,Auto
17-02-2026 1:15 pm,BLUESTARCO,Largecap,Consumer Discretionary
17-02-2026 1:15 pm,SBIN,Largecap,Bank
17-02-2026 1:15 pm,TITAN,Largecap,Consumer Discretionary
17-02-2026 1:15 pm,DRREDDY,Largecap,Healthcare
17-02-2026 1:15 pm,MFSL,Largecap,Miscellaneous
17-02-2026 1:15 pm,ONGC,Largecap,Energy
17-02-2026 1:15 pm,BHARATFORG,Largecap,Industrials
17-02-2026 1:15 pm,BANKINDIA,Largecap,Bank
17-02-2026 1:15 pm,JINDALSTEL,Largecap,Metals & Mining
17-02-2026 1:15 pm,UNIONBANK,Largecap,Bank
17-02-2026 1:15 pm,PFC,Largecap,Financials
17-02-2026 1:15 pm,ASTRAL,Largecap,Plastic products
17-02-2026 1:15 pm,POWERGRID,Largecap,Power & Utilities
17-02-2026 1:15 pm,BAJAJ-AUTO,Largecap,Auto
17-02-2026 1:15 pm,NAM-INDIA,Largecap,Financials
17-02-2026 1:15 pm,BANDHANBNK,Largecap,Bank
17-02-2026 1:15 pm,HDFCAMC,Largecap,Financials
17-02-2026 1:15 pm,SONACOMS,Largecap,Auto
17-02-2026 1:15 pm,LICI,Largecap,Financials
17-02-2026 1:30 pm,FORCEMOT,Largecap,Auto
17-02-2026 1:30 pm,BLUESTARCO,Largecap,Consumer Discretionary
17-02-2026 1:30 pm,SBIN,Largecap,Bank
17-02-2026 1:30 pm,TITAN,Largecap,Consumer Discretionary
17-02-2026 1:30 pm,DRREDDY,Largecap,Healthcare
17-02-2026 1:30 pm,MFSL,Largecap,Miscellaneous
17-02-2026 1:30 pm,ONGC,Largecap,Energy
17-02-2026 1:30 pm,BHARATFORG,Largecap,Industrials
17-02-2026 1:30 pm,BANKINDIA,Largecap,Bank
17-02-2026 1:30 pm,JINDALSTEL,Largecap,Metals & Mining
17-02-2026 1:30 pm,UNIONBANK,Largecap,Bank
17-02-2026 1:30 pm,PFC,Largecap,Financials
17-02-2026 1:30 pm,ASTRAL,Largecap,Plastic products
17-02-2026 1:30 pm,POWERGRID,Largecap,Power & Utilities
17-02-2026 1:30 pm,BAJAJ-AUTO,Largecap,Auto
17-02-2026 1:30 pm,NAM-INDIA,Largecap,Financials
17-02-2026 1:30 pm,AMBER,Largecap,Consumer Discretionary
17-02-2026 1:30 pm,BANDHANBNK,Largecap,Bank
17-02-2026 1:30 pm,HDFCAMC,Largecap,Financials
17-02-2026 1:30 pm,LICI,Largecap,Financials
17-02-2026 1:45 pm,FORCEMOT,Largecap,Auto
17-02-2026 1:45 pm,BLUESTARCO,Largecap,Consumer Discretionary
17-02-2026 1:45 pm,SBIN,Largecap,Bank
17-02-2026 1:45 pm,TITAN,Largecap,Consumer Discretionary
17-02-2026 1:45 pm,DRREDDY,Largecap,Healthcare
17-02-2026 1:45 pm,MFSL,Largecap,Miscellaneous
