date,symbol,marketcapname,sector
25-08-2025,ADANIPOWER,Largecap,Power & Utilities
26-08-2025,EICHERMOT,Largecap,Auto
26-08-2025,WAAREEENER,Largecap,Industrials
28-08-2025,ADANIPOWER,Largecap,Power & Utilities
01-09-2025,HINDALCO,Largecap,Metals & Mining
01-09-2025,M&M,Largecap,Auto
01-09-2025,INDIANB,Largecap,Bank
01-09-2025,AMBER,Largecap,Consumer Discretionary
01-09-2025,KAYNES,Largecap,Consumer Discretionary
02-09-2025,ASHOKLEY,Largecap,Auto
02-09-2025,NMDC,Largecap,Metals & Mining
03-09-2025,JSWSTEEL,Largecap,Metals & Mining
03-09-2025,HINDALCO,Largecap,Metals & Mining
03-09-2025,CUMMINSIND,Largecap,Industrials
03-09-2025,JINDALSTEL,Largecap,Metals & Mining
03-09-2025,MUTHOOTFIN,Largecap,Financials
04-09-2025,KEI,Largecap,Industrials
05-09-2025,ABCAPITAL,Largecap,Financials
08-09-2025,ASHOKLEY,Largecap,Auto
08-09-2025,M&M,Largecap,Auto
08-09-2025,TVSMOTOR,Largecap,Auto
08-09-2025,INDIANB,Largecap,Bank
08-09-2025,ADANIPOWER,Largecap,Power & Utilities
08-09-2025,MUTHOOTFIN,Largecap,Financials
08-09-2025,ABCAPITAL,Largecap,Financials
08-09-2025,HDFCAMC,Largecap,Financials
10-09-2025,SBIN,Largecap,Bank
10-09-2025,INDIANB,Largecap,Bank
12-09-2025,APLAPOLLO,Largecap,Industrials
15-09-2025,ALKEM,Largecap,Healthcare
16-09-2025,CUMMINSIND,Largecap,Industrials
16-09-2025,LT,Largecap,Realty
16-09-2025,KEI,Largecap,Industrials
17-09-2025,SBIN,Largecap,Bank
17-09-2025,TATACONSUM,Largecap,FMCG
18-09-2025,ASHOKLEY,Largecap,Auto
18-09-2025,LTF,Largecap,Financials
18-09-2025,ETERNAL,Largecap,I.T
19-09-2025,ADANIPOWER,Largecap,Power & Utilities
19-09-2025,HYUNDAI,Largecap,Auto
19-09-2025,SWIGGY,Largecap,I.T
22-09-2025,MUTHOOTFIN,Largecap,Financials
23-09-2025,JSWSTEEL,Largecap,Metals & Mining
23-09-2025,ASHOKLEY,Largecap,Auto
23-09-2025,CANBK,Largecap,Bank
24-09-2025,MARUTI,Largecap,Auto
24-09-2025,INDIANB,Largecap,Bank
26-09-2025,LT,Largecap,Realty
29-09-2025,BRITANNIA,Largecap,FMCG
29-09-2025,IOC,Largecap,Energy
29-09-2025,BANKBARODA,Largecap,Bank
29-09-2025,FORTIS,Largecap,Healthcare
29-09-2025,LTF,Largecap,Financials
29-09-2025,IDFCFIRSTB,Largecap,Bank
29-09-2025,ABCAPITAL,Largecap,Financials
29-09-2025,NAM-INDIA,Largecap,Financials
