360ONE,NSE_INDEX|Nifty Fin Service
ABB,NSE_INDEX|Nifty Infra
ABCAPITAL,NSE_INDEX|Nifty Fin Service
ADANIENSOL,NSE_INDEX|Nifty Energy
ADANIENT,NSE_INDEX|Nifty Energy
ADANIGREEN,NSE_INDEX|Nifty Energy
ADANIPORTS,NSE_INDEX|Nifty Infra
ALKEM,NSE_INDEX|NIFTY HEALTHCARE
AMBER,NSE_INDEX|NIFTY CONSR DURBL
AMBUJACEM,NSE_INDEX|Nifty Infra
APLAPOLLO,NSE_INDEX|Nifty Infra
APOLLOHOSP,NSE_INDEX|NIFTY HEALTHCARE
ASHOKLEY,NSE_INDEX|Nifty Auto
ASIANPAINT,NSE_INDEX|Nifty FMCG
ASTRAL,NSE_INDEX|Nifty Infra
AUBANK,NSE_INDEX|Nifty Pvt Bank
AUROPHARMA,NSE_INDEX|NIFTY HEALTHCARE
AXISBANK,NSE_INDEX|Nifty Pvt Bank
BAJAJ-AUTO,NSE_INDEX|Nifty Auto
BAJAJFINSV,NSE_INDEX|Nifty Fin Service
BAJAJHLDNG,NSE_INDEX|Nifty Fin Service
BAJFINANCE,NSE_INDEX|Nifty Fin Service
BANDHANBNK,NSE_INDEX|Nifty Pvt Bank
BANKBARODA,NSE_INDEX|Nifty PSU Bank
BANKINDIA,NSE_INDEX|Nifty PSU Bank
BDL,NSE_INDEX|Nifty Infra
BEL,NSE_INDEX|Nifty Infra
BHARATFORG,NSE_INDEX|Nifty Auto
BHARTIARTL,NSE_INDEX|Nifty MS IT Telcm
BHEL,NSE_INDEX|Nifty Infra
BLUESTARCO,NSE_INDEX|NIFTY CONSR DURBL
BOSCHLTD,NSE_INDEX|Nifty Auto
BPCL,NSE_INDEX|NIFTY OIL AND GAS
BRITANNIA,NSE_INDEX|Nifty FMCG
BSE,NSE_INDEX|Nifty Fin Service
CAMS,NSE_INDEX|Nifty Fin Service
CANBK,NSE_INDEX|Nifty PSU Bank
