"Date","Symbol","Marketcapname","Sector"
"15-07-2026 9:45 am","TATASTEEL","Largecap","Metals & Mining"
"15-07-2026 11:35 am","MARUTI","Largecap","Auto"
"15-07-2026 11:55 am","BRITANNIA","Largecap","FMCG"
"15-07-2026 1:25 pm","ENERGY","Smallcap","Indices"
"15-07-2026 1:55 pm","HINDPETRO","Largecap","Energy"
"15-07-2026 1:55 pm","DMART","Largecap","Consumer Discretionary"
"15-07-2026 1:55 pm","ENERGY","Smallcap","Indices"
"15-07-2026 2:15 pm","BRITANNIA","Largecap","FMCG"
"15-07-2026 2:35 pm","BPCL","Largecap","Energy"
"15-07-2026 3:15 pm","BPCL","Largecap","Energy"
"15-07-2026 3:25 pm","CUMMINSIND","Largecap","Industrials"
"16-07-2026 9:15 am","CHOLAFIN","Largecap","Financials"
"16-07-2026 9:15 am","BDL","Largecap","Aerospace & Defence"
"16-07-2026 9:45 am","CUMMINSIND","Largecap","Industrials"
"16-07-2026 9:45 am","CHOLAFIN","Largecap","Financials"
"16-07-2026 9:45 am","ENERGY","Smallcap","Indices"
"16-07-2026 9:55 am","ANGELONE","Largecap","Financials"
"16-07-2026 10:45 am","BEL","Largecap","Aerospace & Defence"
"16-07-2026 10:45 am","HDFCBANK","Largecap","Bank"
"16-07-2026 11:05 am","FEDERALBNK","Largecap","Bank"
"16-07-2026 12:35 pm","ZYDUSLIFE","Largecap","Healthcare"
"17-07-2026 9:15 am","HINDPETRO","Largecap","Energy"
"17-07-2026 10:05 am","TITAN","Largecap","Consumer Discretionary"
"17-07-2026 10:15 am","LODHA","Largecap","Realty"
"17-07-2026 11:45 am","BDL","Largecap","Aerospace & Defence"
"17-07-2026 11:45 am","LODHA","Largecap","Realty"
"17-07-2026 12:15 pm","POWERGRID","Largecap","Power & Utilities"
"17-07-2026 12:25 pm","IDFCFIRSTB","Largecap","Bank"
"17-07-2026 12:35 pm","GODREJCP","Largecap","FMCG"
"17-07-2026 12:45 pm","IDFCFIRSTB","Largecap","Bank"
"17-07-2026 1:05 pm","BDL","Largecap","Aerospace & Defence"
"17-07-2026 1:45 pm","FEDERALBNK","Largecap","Bank"
"17-07-2026 2:05 pm","RELIANCE","Largecap","Energy"
"17-07-2026 2:05 pm","SHRIRAMFIN","Largecap","Financials"
"17-07-2026 2:05 pm","ICICIBANK","Largecap","Bank"
"17-07-2026 2:05 pm","POWERGRID","Largecap","Power & Utilities"
"17-07-2026 2:35 pm","NESTLEIND","Largecap","FMCG"
"20-07-2026 9:25 am","RBLBANK","Largecap","Bank"
"20-07-2026 9:35 am","AUBANK","Largecap","Bank"
"20-07-2026 9:45 am","MOTILALOFS","Largecap","Financials"
"20-07-2026 10:05 am","BDL","Largecap","Aerospace & Defence"
"20-07-2026 10:25 am","ITC","Largecap","FMCG"
"20-07-2026 11:55 am","TATACONSUM","Largecap","FMCG"
"20-07-2026 12:25 pm","TATACONSUM","Largecap","FMCG"
"20-07-2026 12:35 pm","ETERNAL","Largecap","I.T"
"20-07-2026 1:05 pm","MAZDOCK","Largecap","Aerospace & Defence"
"20-07-2026 1:15 pm","HDFCAMC","Largecap","Financials"
"20-07-2026 1:15 pm","360ONE","Largecap","Financials"
"20-07-2026 1:55 pm","HINDUNILVR","Largecap","FMCG"
"20-07-2026 1:55 pm","ETERNAL","Largecap","I.T"
"20-07-2026 2:25 pm","JSWSTEEL","Largecap","Metals & Mining"
"20-07-2026 2:35 pm","ETERNAL","Largecap","I.T"
"20-07-2026 2:45 pm","PAYTM","Largecap","I.T"
"20-07-2026 2:55 pm","HEALTHCARE","Smallcap","Indices"
"20-07-2026 3:15 pm","ADANIPORTS","Largecap","Transportation"
"20-07-2026 3:15 pm","ETERNAL","Largecap","I.T"
"20-07-2026 3:15 pm","HEALTHCARE","Smallcap","Indices"
"20-07-2026 3:25 pm","GVT&D","Largecap","Industrials"
"21-07-2026 9:45 am","ADANIPORTS","Largecap","Transportation"
"21-07-2026 10:55 am","HEALTHCARE","Smallcap","Indices"
"21-07-2026 1:15 pm","SAIL","Largecap","Metals & Mining"
"21-07-2026 1:15 pm","AXISBANK","Largecap","Bank"
"21-07-2026 2:45 pm","COALINDIA","Largecap","Metals & Mining"
"21-07-2026 3:05 pm","COALINDIA","Largecap","Metals & Mining"
"21-07-2026 3:25 pm","HYUNDAI","Largecap","Auto"
"22-07-2026 9:55 am","JINDALSTEL","Largecap","Metals & Mining"
"22-07-2026 10:05 am","NTPC","Largecap","Power & Utilities"
"22-07-2026 10:05 am","BDL","Largecap","Aerospace & Defence"
"22-07-2026 10:35 am","INDHOTEL","Largecap","Services"
"22-07-2026 11:25 am","BEL","Largecap","Aerospace & Defence"
"22-07-2026 11:25 am","VEDL","Largecap","Metals & Mining"
"23-07-2026 9:15 am","HYUNDAI","Largecap","Auto"
"23-07-2026 9:25 am","BOSCHLTD","Largecap","Auto"
"23-07-2026 9:55 am","HYUNDAI","Largecap","Auto"
"23-07-2026 10:05 am","HINDUNILVR","Largecap","FMCG"
"23-07-2026 10:05 am","KEI","Largecap","Industrials"
"23-07-2026 10:35 am","ITC","Largecap","FMCG"
"23-07-2026 12:15 pm","MOTILALOFS","Largecap","Financials"
"23-07-2026 1:25 pm","EICHERMOT","Largecap","Auto"
"23-07-2026 2:05 pm","INFY","Largecap","I.T"
"23-07-2026 2:55 pm","TATACONSUM","Largecap","FMCG"
"23-07-2026 3:05 pm","KOTAKBANK","Largecap","Bank"
"23-07-2026 3:05 pm","EICHERMOT","Largecap","Auto"
