"Date","Symbol","Marketcapname","Sector"
"31-07-2026 10:15 am","ICICIPRULI","Largecap","Financials"
"31-07-2026 12:15 pm","BEL","Largecap","Aerospace & Defence"
"31-07-2026 1:15 pm","ICICIPRULI","Largecap","Financials"
"03-08-2026 9:15 am","BLUESTARCO","Largecap","Consumer Discretionary"
"03-08-2026 9:15 am","DRREDDY","Largecap","Healthcare"
"03-08-2026 9:15 am","GODFRYPHLP","Largecap","FMCG"
"03-08-2026 9:15 am","PIDILITIND","Largecap","Chemicals"
"03-08-2026 9:15 am","ASIANPAINT","Largecap","Building Materials"
"03-08-2026 9:15 am","ADANIENT","Largecap","Services"
"03-08-2026 9:15 am","IOC","Largecap","Energy"
"03-08-2026 9:15 am","BANKINDIA","Largecap","Bank"
"03-08-2026 9:15 am","GODREJCP","Largecap","FMCG"
"03-08-2026 9:15 am","CANBK","Largecap","Bank"
"03-08-2026 9:15 am","APLAPOLLO","Largecap","Industrials"
"03-08-2026 9:15 am","IRFC","Largecap","Financials"
"03-08-2026 9:15 am","SONACOMS","Largecap","Auto"
"03-08-2026 9:15 am","IREDA","Largecap","Financials"
"03-08-2026 2:15 pm","NESTLEIND","Largecap","FMCG"
"04-08-2026 9:15 am","CGPOWER","Largecap","Industrials"
"04-08-2026 9:15 am","VEDL","Largecap","Metals & Mining"
"04-08-2026 9:15 am","KEI","Largecap","Industrials"
"04-08-2026 9:15 am","POLYCAB","Largecap","Industrials"
"05-08-2026 9:15 am","GRASIM","Largecap","Textiles"
"05-08-2026 9:15 am","UNIONBANK","Largecap","Bank"
"05-08-2026 9:15 am","RADICO","Largecap","FMCG"
"05-08-2026 9:15 am","COFORGE","Largecap","I.T"
"05-08-2026 9:15 am","NTPC","Largecap","Power & Utilities"
"05-08-2026 9:15 am","BAJAJ-AUTO","Largecap","Auto"
"05-08-2026 10:15 am","GLENMARK","Largecap","Healthcare"
"05-08-2026 1:15 pm","GRASIM","Largecap","Textiles"
"06-08-2026 9:15 am","CANBK","Largecap","Bank"
"06-08-2026 11:15 am","KALYANKJIL","Largecap","Consumer Discretionary"
"06-08-2026 1:15 pm","ICICIBANK","Largecap","Bank"
"07-08-2026 9:15 am","M&M","Largecap","Auto"
"07-08-2026 9:15 am","AUROPHARMA","Largecap","Healthcare"
"07-08-2026 9:15 am","MPHASIS","Largecap","I.T"
"07-08-2026 9:15 am","TCS","Largecap","I.T"
"07-08-2026 9:15 am","GMRAIRPORT","Largecap","Miscellaneous"
"07-08-2026 9:15 am","WAAREEENER","Largecap","Industrials"
"07-08-2026 12:15 pm","BOSCHLTD","Largecap","Auto"
"07-08-2026 1:15 pm","FORTIS","Largecap","Healthcare"
"10-08-2026 9:15 am","BAJAJHLDNG","Largecap","Financials"
"10-08-2026 9:15 am","HYUNDAI","Largecap","Auto"
"10-08-2026 10:15 am","SUPREMEIND","Largecap","Plastic products"
"10-08-2026 10:15 am","OBEROIRLTY","Largecap","Realty"
"11-08-2026 9:15 am","LICI","Largecap","Financials"
"12-08-2026 9:15 am","HINDALCO","Largecap","Metals & Mining"
"12-08-2026 9:15 am","BANKBARODA","Largecap","Bank"
"12-08-2026 9:15 am","PETRONET","Largecap","Energy"
"12-08-2026 9:15 am","INDIANB","Largecap","Bank"
"12-08-2026 9:15 am","IDEA","Largecap","Telecom-Service"
"12-08-2026 9:15 am","INDUSTOWER","Largecap","Telecom"
"12-08-2026 9:15 am","HYUNDAI","Largecap","Auto"
"12-08-2026 10:15 am","TIINDIA","Largecap","Industrials"
"12-08-2026 12:15 pm","PETRONET","Largecap","Energy"
"12-08-2026 1:15 pm","MAHABANK","Largecap","Bank"
"12-08-2026 1:15 pm","IDFCFIRSTB","Largecap","Bank"
"13-08-2026 9:15 am","CONCOR","Largecap","Transportation"
"13-08-2026 9:15 am","RADICO","Largecap","FMCG"
"13-08-2026 9:15 am","COFORGE","Largecap","I.T"
"13-08-2026 11:15 am","PATANJALI","Largecap","FMCG"
"13-08-2026 11:15 am","LT","Largecap","Realty"
"13-08-2026 11:15 am","KALYANKJIL","Largecap","Consumer Discretionary"
"14-08-2026 9:15 am","MFSL","Largecap","Financials"
"14-08-2026 9:15 am","CUMMINSIND","Largecap","Industrials"
"14-08-2026 9:15 am","OFSS","Largecap","I.T"
"17-08-2026 9:15 am","NATIONALUM","Largecap","Metals & Mining"
"17-08-2026 9:15 am","MUTHOOTFIN","Largecap","Financials"
"17-08-2026 9:15 am","HDFCLIFE","Largecap","Financials"
"17-08-2026 9:15 am","POLYCAB","Largecap","Industrials"
"17-08-2026 11:15 am","GODREJPROP","Largecap","Realty"
"17-08-2026 2:15 pm","KEI","Largecap","Industrials"
"17-08-2026 2:15 pm","OBEROIRLTY","Largecap","Realty"
"19-08-2026 9:15 am","KAYNES","Largecap","Consumer Discretionary"
"19-08-2026 1:15 pm","HDFCAMC","Largecap","Financials"
"20-08-2026 9:15 am","SHRIRAMFIN","Largecap","Financials"
"20-08-2026 9:15 am","GODREJCP","Largecap","FMCG"
"20-08-2026 9:15 am","UNITDSPR","Largecap","FMCG"
"20-08-2026 9:15 am","CANBK","Largecap","Bank"
"20-08-2026 9:15 am","MARUTI","Largecap","Auto"
"20-08-2026 9:15 am","PERSISTENT","Largecap","I.T"
"20-08-2026 9:15 am","CDSL","Largecap","Financials"
"20-08-2026 9:15 am","HDFCLIFE","Largecap","Financials"
"20-08-2026 9:15 am","PREMIERENE","Largecap","Services"
"20-08-2026 9:15 am","HYUNDAI","Largecap","Auto"
"20-08-2026 9:15 am","SWIGGY","Largecap","I.T"
"20-08-2026 11:15 am","ULTRACEMCO","Largecap","Building Materials"
"20-08-2026 12:15 pm","SWIGGY","Largecap","I.T"
"21-08-2026 9:15 am","BEL","Largecap","Aerospace & Defence"
"21-08-2026 9:15 am","BAJAJFINSV","Largecap","Financials"
"21-08-2026 9:15 am","PRESTIGE","Largecap","Realty"
"21-08-2026 9:15 am","BANKNIFTY","Smallcap","Indices"
"21-08-2026 9:15 am","BDL","Largecap","Aerospace & Defence"
"21-08-2026 9:15 am","POWERINDIA","Largecap","Industrials"
"21-08-2026 9:15 am","KFINTECH","Midcap","Financials"
"24-08-2026 9:15 am","HCLTECH","Largecap","I.T"
"24-08-2026 9:15 am","GLENMARK","Largecap","Healthcare"
"24-08-2026 9:15 am","BAJAJ-AUTO","Largecap","Auto"
"24-08-2026 9:15 am","LTM","Largecap","I.T"
"24-08-2026 11:15 am","TATACONSUM","Largecap","FMCG"
"24-08-2026 2:15 pm","DRREDDY","Largecap","Healthcare"
"24-08-2026 2:15 pm","JSWSTEEL","Largecap","Metals & Mining"
"24-08-2026 2:15 pm","GAIL","Largecap","Energy"
"25-08-2026 9:15 am","MFSL","Largecap","Financials"
"25-08-2026 9:15 am","ANGELONE","Largecap","Financials"
"25-08-2026 10:15 am","BHEL","Largecap","Industrials"
"25-08-2026 10:15 am","ADANIENT","Largecap","Services"
"25-08-2026 10:15 am","BIOCON","Largecap","Healthcare"
"25-08-2026 10:15 am","PNBHOUSING","Largecap","Financials"
"25-08-2026 1:15 pm","VBL","Largecap","FMCG"
"26-08-2026 9:15 am","HINDZINC","Largecap","Metals & Mining"
"26-08-2026 12:15 pm","POLICYBZR","Largecap","I.T"
"27-08-2026 9:15 am","BHEL","Largecap","Industrials"
"27-08-2026 9:15 am","ADANIENT","Largecap","Services"
"27-08-2026 9:15 am","PAGEIND","Largecap","Consumer Discretionary"
"27-08-2026 9:15 am","KALYANKJIL","Largecap","Consumer Discretionary"
"27-08-2026 12:15 pm","POWERINDIA","Largecap","Industrials"
"28-08-2026 9:15 am","HCLTECH","Largecap","I.T"
"28-08-2026 9:15 am","LTM","Largecap","I.T"
"28-08-2026 9:15 am","CAMS","Midcap","Financials"
"31-08-2026 9:15 am","VMM","Largecap","Consumer Discretionary"
"31-08-2026 11:15 am","BHEL","Largecap","Industrials"
"31-08-2026 11:15 am","COLPAL","Largecap","FMCG"
"31-08-2026 11:15 am","PRESTIGE","Largecap","Realty"
"31-08-2026 12:15 pm","DMART","Largecap","Consumer Discretionary"
"31-08-2026 2:15 pm","INDHOTEL","Largecap","Services"
"31-08-2026 2:15 pm","RECLTD","Largecap","Financials"
