date,symbol,n_ready_now,ready_now_times,top10_not_ready_times,n_top10_not_ready,zero_ready_top10,n_top10_scans
2026-07-20,JSWENERGY,40,"13:15,13:20,14:12,14:13,14:14,14:15,14:16,14:17,14:18,14:19,14:20,14:21,14:43,14:44,14:45,14:46,14:47,14:48,14:49,14:50,14:51,15:09,15:10,15:11,15:12,15:13,15:14,15:15,15:16,15:17,15:18,15:19,15:20,15:21","10:12,10:15,10:42,10:45,11:12,11:15,11:25,11:32,11:36,11:40,11:45,12:04,12:05,12:10,12:15,12:20,12:25,12:30,13:01,13:05,13:10,14:00,14:05,14:27,14:31,14:35,14:56,15:01,15:35,15:37",30,,33
2026-07-20,NHPC,33,"14:20,14:21,14:39,14:40,14:41,14:42,14:43,14:44,14:45,14:46,14:47,14:48,14:49,14:50,14:51,15:09,15:10,15:11,15:12,15:13,15:14,15:15,15:16,15:17,15:18,15:19,15:20,15:21","13:05,13:10,13:15,13:35,13:40,13:45,14:05,14:10,14:15,14:27,14:31,14:56,15:01,15:35,15:37",15,,17
2026-07-20,BANKBARODA,17,"12:10,12:11,12:12,12:13,12:14,12:15,12:16,12:17,12:18,12:19,12:20,12:21,12:22","09:45,11:12,11:15,11:20,11:32,11:36,11:40,11:59,12:04,13:01,13:05,13:10,13:32,13:35,13:40,13:45,14:00,14:05,14:10,14:15,14:35,14:40,14:45,15:35,15:37",25,,26
2026-07-20,AUBANK,15,"11:35,11:36,11:37,11:38,11:39,11:40,11:41,11:42,11:44,11:45,11:46,11:47,11:48","10:12,10:15,10:20,10:25,10:30,10:42,10:45,10:50,10:55,11:00,11:12,11:15,11:20,11:25,11:59,12:04,12:05,12:10,12:25,12:30,12:57,13:01,13:05,13:10",24,,25
2026-07-20,JIOFIN,14,"12:12,12:13,12:14,12:15,12:16,12:17,12:18,12:19,12:20,12:21","10:42,10:45,11:12,11:15,11:25,11:32,11:36,11:40,11:45,12:04,12:05,12:30,12:35,12:40,12:45,14:35,14:40,14:45,15:05,15:10,15:15",21,,23
2026-07-20,AXISBANK,13,"11:45,11:46,11:47,11:48,11:49,11:50,11:51,12:50,13:15,13:20","09:50,09:55,10:00,10:12,10:15,10:20,10:25,10:30,10:50,10:55,11:00,11:12,11:15,11:20,11:25,11:32,11:36,11:40,12:30,12:35,12:40,12:45,13:01,13:05,13:10,15:05,15:10,15:15",28,,28
2026-07-20,OIL,10,"13:43,13:44,13:45,13:46,13:47,13:49,13:50,13:51","12:30,12:35,12:40,13:01,13:05,13:10,13:32,13:35",8,,9
2026-07-20,TORNTPHARM,9,"14:15,14:16,14:17,14:18,14:19,14:20,14:21","12:05,12:10,12:15,12:25,12:30,12:35,12:40,12:45,13:01,13:05,13:10,13:32,13:35,13:40,13:56,14:00,14:05,14:10,14:27,14:31,14:35,14:40,14:45,14:56,15:01,15:05,15:10,15:15",28,,28
2026-07-20,INDIGO,8,"10:20,10:21,10:23,10:24,10:25,10:29,10:30","10:12,10:15",2,,2
2026-07-20,UNIONBANK,8,"12:17,12:18,12:19,12:20,12:21,12:22","11:40,11:45,11:50,12:04,12:05,12:10,12:30,12:35,13:01,13:05,13:10,13:32,13:35,13:40,13:45,13:50,13:56,14:00,14:05,14:10,14:15,14:20,14:27,14:31,14:35",25,,27
2026-07-20,ASTRAL,6,"11:45,11:46,11:47,11:48,11:49","09:25,09:30,09:42,09:45,10:42,10:45,10:50,10:55,11:00,11:12,11:15,11:20,11:25,11:32,12:57,13:20,13:50,14:15,14:20",19,,19
2026-07-20,MARUTI,4,"13:49,13:50,13:51","10:12,10:15,10:20,10:45,10:50,11:15,11:20,11:36,11:40,11:45,12:04,12:05,12:10,13:05,13:10,13:15,13:32,13:35,13:40",19,,20
2026-07-20,COLPAL,2,"13:15,13:20","09:20,10:50,10:55,11:00,11:12,11:15,11:20,11:25,11:32,11:36,11:40,11:59,12:04,12:05,12:25,12:30,12:35,12:40,12:45,13:01,13:05,13:10,14:31,14:35,14:40,15:01,15:05,15:10,15:35,15:37",30,,30
2026-07-20,PNB,2,"11:21,11:22","10:12,10:15,10:20,10:42,10:45,10:50,11:12,11:15,13:01,13:05,13:10,13:32,13:35,13:40,13:56,14:00,14:05,14:10,14:27,14:31,14:35,14:40,15:35,15:37",24,,26
2026-07-20,TVSMOTOR,2,"13:15,13:20","09:30,09:42,09:45,09:50,09:55,10:00,10:12,10:20,12:15,13:01,13:05,13:10",12,,12
2026-07-20,360ONE,0,,"09:30,09:42,10:20,10:25,10:30,11:20,12:25,12:57,13:35,13:40,13:45",11,Y,11
2026-07-20,ABB,0,,"09:30,11:15,11:32,11:59,12:15,12:25",6,Y,6
2026-07-20,ABCAPITAL,0,,"09:30,11:32,11:59,12:25,12:30,12:35,12:40,12:45,12:57,13:01",10,Y,10
2026-07-20,ADANIENSOL,0,,"11:50,11:59,12:25,14:45,14:50",5,Y,5
2026-07-20,ADANIENT,0,,"12:25,12:57",2,Y,2
2026-07-20,ADANIGREEN,0,,"09:20,09:25,12:25",3,Y,3
2026-07-20,ADANIPORTS,0,,"12:25,14:56",2,Y,2
2026-07-20,ADANIPOWER,0,,"10:15,10:45,10:55,11:00,11:12,11:15,11:20,11:32,11:36,11:40,12:20,12:25,12:45,12:57,13:27,13:45,13:50,13:56,14:15,14:27,14:31,14:40,14:56,15:01,15:05,15:10,15:15,15:35,15:37",29,Y,29
2026-07-20,ALKEM,0,,"11:36,11:45,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,13:20,13:27,13:32,13:45,13:50,13:56,14:15,15:15,15:35,15:37",20,Y,20
2026-07-20,AMBER,0,,"09:25,09:30,13:10,13:15,13:20,14:10,14:15,14:20,15:10,15:15",10,Y,10
2026-07-20,AMBUJACEM,0,,"09:45,12:25",2,Y,2
2026-07-20,APLAPOLLO,0,,"09:25,09:30,09:45,09:50,09:55,10:00,12:50,13:20",8,Y,8
2026-07-20,APOLLOHOSP,0,,"11:50,12:57,13:27,13:56,14:27",5,Y,5
2026-07-20,ASHOKLEY,0,,"09:30,09:42,09:45,09:50,09:55,10:00,10:12,10:15,12:25,12:35,12:40,12:45,12:57,13:01,13:05,13:10,15:01,15:05,15:10,15:35,15:37",21,Y,21
2026-07-20,ASIANPAINT,0,,"12:57,13:32,13:35,13:40",4,Y,4
2026-07-20,AUROPHARMA,0,,"11:59,12:57,13:01",3,Y,3
2026-07-20,BAJAJFINSV,0,,15:15,1,Y,1
2026-07-20,BAJAJHLDNG,0,,"10:30,10:42,13:15,13:20,13:35,13:40,13:45,14:00,14:05,14:20,15:35,15:37",12,Y,12
2026-07-20,BAJFINANCE,0,,"10:42,11:00,11:20,11:32,11:36,11:40,11:59,12:05,12:50",9,Y,9
2026-07-20,BANDHANBNK,0,,"11:20,11:32,15:35,15:37",4,Y,4
2026-07-20,BANKINDIA,0,,"12:57,13:27,14:15",3,Y,3
2026-07-20,BDL,0,,13:15,1,Y,1
2026-07-20,BEL,0,,"12:20,13:50,14:45,14:50",4,Y,4
2026-07-20,BHARATFORG,0,,"09:50,09:55,10:00,10:12,10:20,10:25,10:30,10:42,10:45,10:50,10:55,11:00,11:25,13:32,13:35,13:40",16,Y,16
2026-07-20,BHARTIARTL,0,,"10:00,11:59",2,Y,2
2026-07-20,BHEL,0,,"10:25,10:30,10:42,10:55,11:00,11:12,11:15,11:20,11:59,12:04,12:05,14:35,14:40,14:45",14,Y,14
2026-07-20,BIOCON,0,,"12:57,13:27,14:15,14:20,14:27,14:56",6,Y,6
2026-07-20,BLUESTARCO,0,,"10:25,10:30,11:59,13:15,13:45,13:56,14:15",7,Y,7
2026-07-20,BOSCHLTD,0,,"09:25,09:30,09:42,11:32,11:59,13:20",6,Y,6
2026-07-20,BPCL,0,,"10:42,10:45,10:50,10:55,11:00,14:56",6,Y,6
2026-07-20,BRITANNIA,0,,"13:45,14:15",2,Y,2
2026-07-20,BSE,0,,"10:30,10:42,10:45,14:45",4,Y,4
2026-07-20,CAMS,0,,"09:55,10:00,10:12,10:20,10:25,10:30,10:42,10:45,10:50,10:55,11:00,11:12,11:32,11:36,11:40,12:45,13:32,13:35,13:40,14:31,14:40,15:01,15:05,15:10,15:35,15:37",26,Y,26
2026-07-20,CANBK,0,,"12:57,13:15,13:27,13:32,14:00,14:10,14:31,14:35,14:40,15:01,15:05,15:10",12,Y,12
2026-07-20,CDSL,0,,"10:25,10:30,11:12,11:50,11:59,12:04,12:05,12:10,12:15,12:30,12:35,12:40,12:45,13:01,13:05,13:10,14:00,14:05,14:10,14:27,14:31,14:35,14:40,14:56,15:01,15:05,15:10",27,Y,27
2026-07-20,CGPOWER,0,,"11:59,12:15",2,Y,2
2026-07-20,CHOLAFIN,0,,"09:50,09:55,10:00,10:50,10:55,11:00,11:20,11:25,11:32,11:36,11:40,11:45,12:30,12:35,12:50,14:35,14:40,14:45",18,Y,18
2026-07-20,CIPLA,0,,"09:50,09:55,10:00,10:25,10:30,11:59,12:04,12:05,12:30,12:35,12:40,13:05,13:10,13:15",14,Y,14
2026-07-20,COALINDIA,0,,"09:45,09:50,09:55,10:00,13:45,14:15",6,Y,6
