symbol,curr_month_open,prev_mth_close,prev_mth_expiry,curr_mth_expiry,nxt_earning_date
AXISBANK,1295,1289,28-Apr-26,26-May-26,27-Jul-26
BAJFINANCE,925,923.65,28-Apr-26,26-May-26,28-Jul-26
BHARTIARTL,1848,1843.8,28-Apr-26,26-May-26,13-May-26
HDFCBANK,785.5,782.55,28-Apr-26,26-May-26,20-Jul-26
HINDUNILVR,2305,2289.5,28-Apr-26,26-May-26,16-Jul-26
ICICIBANK,1294.7,1292,28-Apr-26,26-May-26,20-Jul-26
INFY,1158.5,1152.1,28-Apr-26,26-May-26,16-Jul-26
ITC,305.1,304.45,28-Apr-26,26-May-26,14-May-26
KOTAKBANK,378,377.95,28-Apr-26,26-May-26,20-Jul-26
LT,4060,4037.7,28-Apr-26,26-May-26,5-May-26
RELIANCE,1392,1388.9,28-Apr-26,26-May-26,17-Jul-26
SBIN,1094,1091.3,28-Apr-26,26-May-26,15-May-26
TCS,2451,2444.7,28-Apr-26,26-May-26,9-Jul-26
