Stock,Alert_Type,Alert_Time,Option_Contract,Stock_LTP,Qty,Buy_Price,Buy_Time,Sell_Price,Sell_Time,PnL,Stop_Loss,Status,Should_Enter
POLICYBZR,Bullish,2025-11-04 10:15:00,POLICYBZR-Nov2025-1880-CE,1856.00,0,N/A,N/A,N/A,N/A,N/A,N/A,NO_ENTRY,NO (Opposite Trend)
KALYANKJIL,Bullish,2025-11-04 10:15:00,KALYANKJIL-Nov2025-540-CE,528.35,0,N/A,N/A,N/A,N/A,N/A,N/A,NO_ENTRY,NO (Opposite Trend)
POWERINDIA,Bullish,2025-11-04 10:15:00,POWERINDIA-Nov2025-20500-CE,20236.00,0,N/A,N/A,N/A,N/A,N/A,N/A,NO_ENTRY,NO (Opposite Trend)
LAURUSLABS,Bullish,2025-11-04 10:15:00,LAURUSLABS-Nov2025-1000-CE,984.25,0,N/A,N/A,N/A,N/A,N/A,N/A,NO_ENTRY,NO (Opposite Trend)
ALKEM,Bullish,2025-11-04 10:15:00,ALKEM-Nov2025-5700-CE,5653.00,0,N/A,N/A,N/A,N/A,N/A,N/A,NO_ENTRY,NO (Opposite Trend)
INDUSTOWER,Bullish,2025-11-04 10:15:00,INDUSTOWER-Nov2025-410-CE,390.90,0,N/A,N/A,N/A,N/A,N/A,N/A,NO_ENTRY,NO (Opposite Trend)
LTF,Bullish,2025-11-04 10:15:00,LTF-Nov2025-300-CE,283.15,0,N/A,N/A,N/A,N/A,N/A,N/A,NO_ENTRY,NO (Opposite Trend)
YESBANK,Bullish,2025-11-04 10:15:00,YESBANK-Nov2025-34-CE,23.31,0,N/A,N/A,N/A,N/A,N/A,N/A,NO_ENTRY,NO (Opposite Trend)
BHARTIARTL,Bullish,2025-11-04 10:15:00,BHARTIARTL-Nov2025-2200-CE,2119.50,0,N/A,N/A,N/A,N/A,N/A,N/A,NO_ENTRY,NO (Opposite Trend)
IOC,Bullish,2025-11-04 10:15:00,IOC-Nov2025-170-CE,169.92,0,N/A,N/A,N/A,N/A,N/A,N/A,NO_ENTRY,NO (Opposite Trend)
BPCL,Bullish,2025-11-04 10:15:00,BPCL-Nov2025-380-CE,371.65,0,N/A,N/A,N/A,N/A,N/A,N/A,NO_ENTRY,NO (Opposite Trend)
TITAN,Bullish,2025-11-04 10:15:00,TITAN-Nov2025-3900-CE,3803.90,0,N/A,N/A,N/A,N/A,N/A,N/A,NO_ENTRY,NO (Opposite Trend)
